,kpkv,year,name_eng,name_ukr,m_1_plan,m_1_fact,m_1_nspend,m_2_plan,m_2_fact,m_2_nspend,m_3_plan,m_3_fact,m_3_nspend,m_4_plan,m_4_fact,m_4_nspend,m_5_plan,m_5_fact,m_5_nspend,m_6_plan,m_6_fact,m_6_nspend,m_7_plan,m_7_fact,m_7_nspend,m_8_plan,m_8_fact,m_8_nspend,m_9_plan,m_9_fact,m_9_nspend,m_10_plan,m_10_fact,m_10_nspend,m_11_plan,m_11_fact,m_11_nspend,m_12_plan,m_12_fact,m_12_nspend,Annual Plan
1468,0,2018,Everything,Усього,53385555300,45173169996,8212385304,65318923400,61952620280,11578688424,105311055200,94862543333,22027200291,79199844960,73486424874,27740620378,87198854275,78642008421,36297466232,75394917448,70657754889,41034628790,64694077657,60239944233,45488762215,67655814325,62076828176,51067748364,83668513698,77071824377,57664437686,66951382832,64492819266,60123001251,83090134856,80948281104,62264855003,74023885457,114559661733,21729078727,905892959408
1469,0,2019,Everything,Усього,70498346400,61713916905,8784429495,71100722102,67785609899,12099541698,97711906400,88709723392,21101724706,74883166641,76328640260,19656251088,101267283898,86476743323,34446791663,86576064700,78322046226,42700810137,75136849800,69393688897,48443971040,78421559533,71649111986,55216418587,89768694559,79352815958,65632297188,77716450146,70893655379,72455091955,80039054830,84086879043,68407267742,79481397891,118266590201,29622075432,982601496900
1470,0,2020,Everything,Усього,73325846800,62015293817,11310552983,79987269600,69612817749,21685004834,96920956078,90344004896,28261956016,102658413375,87238410670,43681958722,118200744564,84195738209,77686965077,59657580616,86666809404,50677736289,110692832572,86439215934,74931352927,98278783389,80848332775,92361803541,103933789763,103290569831,93005023473,93875994365,92469136072,94411881766,104049010040,97844835743,100616056063,93751464938,158243051204,36124469797,1135332686100
1471,0,2021,Everything,Усього,80805779200,68288058731,12517720469,89273775138,86302056954,15489438653,106891361750,99709571874,22671228529,99842045350,90085624225,32427649654,114251833912,110797366150,35882117416,111924870647,103518436327,44288551736,84785313092,76440050167,52633814661,94896726920,82250061210,65280480370,113529809002,110504700378,68305588994,97949263542,93946416248,72308436288,127053091206,127512034249,71849493245,156990221041,210469621327,18370092959,1278194090800
0,111010,2018,Implementation of legislative activity of the Verkhovna Rada of Ukraine,Здійснення законотворчої діяльності Верховної Ради України,61121100,56204532.71,4916567.29,65560500,62722663.32,7754403.97,65560500,61289841.14,12025062.83,66688100,63561262.23,15151900.6,74226700,61528646.4,27849954.2,79545400,65891122.55,41504231.65,80655200,76375957.65,45783474,82874900,48301465.18,80356908.82,80903600,66035860.48,95224648.34,76712300,63216212.39,108720736,77840000,74170896.08,112389839.9,85378200,144863666.1,52904373.82,897066500
1,111010,2019,Implementation of legislative activity of the Verkhovna Rada of Ukraine,Здійснення законотворчої діяльності Верховної Ради України,64008400,59196046.87,4812353.13,66007300,54188073.99,16631579.14,75510200,80596367.27,11545411.87,75891900,68181489.83,19255822.04,77449600,68275840.23,28429581.81,93566000,76909033.4,45086548.41,91736000,79247667.45,57574880.96,142070500,121622826.6,78022554.32,88838700,61572150.44,105289103.9,75819100,70745164.74,110363039.1,106091800,53828281.12,162626558,105448000,144815422.1,123259136,1062437500
2,111010,2020,Implementation of legislative activity of the Verkhovna Rada of Ukraine,Здійснення законотворчої діяльності Верховної Ради України,79028400,46375843.33,32652556.67,78894300,65487350.45,46059506.22,81057100,61036771.42,66079834.8,78939200,72262999.64,72756035.16,84957000,71718065.61,85994969.55,92404900,71895234.85,106504634.7,93905500,91970178.13,108439956.6,96021800,55250536.01,149211220.6,91864800,74132786.07,166943234.5,90786900,78896294.74,178833839.8,91860800,68604268.11,202090371.6,0,161157836.9,40487434.74,959720700
6,111020,2020,"Service and organizational, information-analytical, logistical support of the Verkhovna Rada of Ukraine","Обслуговування та організаційне, інформаційно-аналітичне, матеріально-технічне забезпечення діяльності Верховної Ради України",72207600,44442792.47,27764807.53,87774600,58415681.64,57123725.89,79071200,51830039.69,84364886.2,31104700,63251040.31,52218545.89,72458000,59764614.65,64911931.24,80277700,67299292.79,77890338.45,79872800,91191232.18,66571906.27,89016100,66966086.5,88621919.77,85739600,78000888.46,96360631.31,75714300,88419073.23,83655858.08,78119800,84677414.25,77098243.83,119659900,171347580.6,25410563.27,951016300
10,111090,2020,Coverage of the Verkhovna Rada of Ukraine through Television and Radio Broadcasting and Financial Support for the Voice of Ukraine newspaper,"Висвітлення діяльності Верховної Ради України через засоби телебачення і радіомовлення та фінансова підтримка видання газети ""Голос України""",6371000,3213787.31,3157212.69,6371000,4312517.66,5215695.03,6371000,3835131.96,7751563.07,6371000,7409188.89,6713374.18,6371000,4611119.56,8473254.62,6371000,7268334.81,7575919.81,6371000,7727550.5,6219369.31,6371000,5144610.13,7445759.18,6485500,6104801.62,7826457.56,6485500,5888540.23,8423417.33,6485500,5105229.58,9803687.75,6484900,15879205.19,409382.56,76909400
3,111010,2021,Implementation of legislative activity of the Verkhovna Rada of Ukraine,Здійснення законотворчої діяльності Верховної Ради України,74984200,51390942.65,23593257.35,76107300,70635460.5,29065096.85,78876700,71362193.76,36579603.09,95096100,75615583.17,56060119.92,101959200,73328531.88,84690788.04,115400600,72944616.27,127146771.8,121920600,103177920.5,145889451.2,117569900,81314014.41,182145336.8,255777300,57718339.52,380204297.3,119862900,84868198.15,415198999.2,256411700,93629009.62,577981689.5,129452000,291168538.5,416265151,1543418500
4,111020,2018,"Service and organizational, information-analytical, logistical support of the Verkhovna Rada of Ukraine","Обслуговування та організаційне, інформаційно-аналітичне, матеріально-технічне забезпечення діяльності Верховної Ради України",53879900,30199629.34,23680270.66,55639700,45781050.92,33538919.74,55209400,55035434.8,33712884.94,56922100,53569307.16,37065677.78,63999700,51763068.12,49302309.66,69767400,58381191.04,60688518.62,70207300,69646831.35,61248987.27,71087200,50846402.34,81489784.93,68127400,70176546.34,79440638.59,64072500,72404039.99,71109098.6,65785200,75833974.45,61060324.15,70971000,125390496.5,6640827.63,765668800
5,111020,2019,"Service and organizational, information-analytical, logistical support of the Verkhovna Rada of Ukraine","Обслуговування та організаційне, інформаційно-аналітичне, матеріально-технічне забезпечення діяльності Верховної Ради України",57442100,37391069.89,20051030.11,57958900,40138678.45,37871251.66,63134200,65465413.67,35540037.99,60005000,67366393.09,28178644.9,63468900,69736907.81,21910637.09,81409900,79125616.94,24194920.15,83241500,79653094.85,27783325.3,76838400,58544774.42,46076950.88,71854400,72387937.76,45543413.12,66730800,64357978.85,47916234.27,72702000,64582683.86,56035550.41,86488200,126767505,15756245.46,841274300
7,111020,2021,"Service and organizational, information-analytical, logistical support of the Verkhovna Rada of Ukraine","Обслуговування та організаційне, інформаційно-аналітичне, матеріально-технічне забезпечення діяльності Верховної Ради України",74055700,54250365.87,19805334.13,74759700,68204712.13,26360322,76467100,72588146.1,30239275.9,86327200,78988754.62,37577721.28,96447600,79966570.32,54058750.96,119569400,90058460.64,83569690.32,120164500,117839962.7,85894227.6,123276600,98163278.31,111007549.3,105710100,96729650.32,119987999,94752000,103878336.7,110861662.3,97412100,112789310.7,95484451.55,100317800,164942841.3,30859410.24,1169259800
8,111090,2018,Coverage of the Verkhovna Rada of Ukraine through Television and Radio Broadcasting and Financial Support for the Voice of Ukraine newspaper,"Висвітлення діяльності  Верховної  Ради  України через  засоби  телебачення  і радіомовлення та фінансова підтримка видання газети ""Голос України""",3462600,2026406.18,1436193.82,3462600,2113164.55,2785629.27,3462600,2220192.05,4028037.22,5962700,2699627.52,7291109.7,5962700,5607324.29,7646485.41,5962700,3645204.75,9963980.66,5962700,3505713.94,12420966.72,5962700,3274539.4,15109127.32,5962700,15822309.21,5249518.11,5129300,5842565.46,4536252.65,5129300,6554648.92,3110903.73,5128300,8212415.95,26787.78,61550900
9,111090,2019,Coverage of the Verkhovna Rada of Ukraine through Television and Radio Broadcasting and Financial Support for the Voice of Ukraine newspaper,"Висвітлення діяльності  Верховної  Ради  України через  засоби  телебачення  і радіомовлення та фінансова підтримка видання газети ""Голос України""",3730900,2762230.06,968669.94,3730900,2863046.59,1836523.35,3730900,3041014.94,2526408.41,3730900,3731262.27,2526046.14,3730900,4966656.27,1290289.87,3730900,3912377.59,1108812.28,3730900,3889845.33,949866.95,3730900,3125205.5,1555561.45,3730900,3344187.54,1942273.91,14030900,2909876.3,13063297.61,6690900,13636233.26,6117964.35,6031400,11982252.26,167112.09,60331300
11,111090,2021,Coverage of the Verkhovna Rada of Ukraine through Television and Radio Broadcasting and Financial Support for the Voice of Ukraine newspaper,"Висвітлення діяльності  Верховної  Ради  України через  засоби  телебачення  і радіомовлення та фінансова підтримка видання газети ""Голос України""",7063700,3717653.47,3346046.53,7063700,4582252.71,5827493.82,7063700,7568944.8,5322249.02,7063700,6472560.22,5913388.8,7063700,4905196.57,8071892.23,7063700,11597219.48,3538372.75,7063700,7397361.07,3204711.68,7063700,7401798.48,2866613.2,7063700,6948759.07,2981554.13,7063700,6516056.94,3529197.19,7063700,6195066.55,4397830.64,24063700,28450816.41,10714.23,101764400
12,301010,2018,"Service and organizational, information-analytical, logistical support of the President of Ukraine and the Presidential Administration of Ukraine","Обслуговування та організаційне, інформаційно-аналітичне, матеріально-технічне забезпечення діяльності Президента України та Адміністрації Президента України",80740900,56075343.23,24665556.77,69517200,50484330.12,43698426.65,75572800,62608151.29,56663075.36,83919300,59587657.8,80994717.56,87249800,68836167.48,99408350.08,80939900,70481594.62,109866655.5,82020400,76708524.77,115178530.7,90435600,91562015.04,114052115.7,113022300,94036811.01,133037604.6,97579900,85093694.08,145523810.6,104915700,90622064.48,159817446.1,95438900,223879662.1,31376684.01,1061352700
13,301010,2019,"Service and organizational, information-analytical, logistical support of the President of Ukraine and the Presidential Administration of Ukraine","Обслуговування та організаційне, інформаційно-аналітичне, матеріально-технічне забезпечення діяльності Президента України та Адміністрації Президента України",87585100,63913961.12,23671138.88,66717200,57042414.51,33345924.37,70865800,71920508.66,32291215.71,66616800,67832576.75,31075438.96,68892100,64601630.83,35365908.13,89437000,77658119.72,47144788.41,76603600,62155956.05,61592432.36,92548300,60770474.15,93370258.21,83065600,71143866,105291992.2,80023800,81394194.21,103921598,93153100,73684999.93,123389698.1,102152500,148913988.7,76628209.35,977660900
14,301010,2020,"Service and organizational, information-analytical, logistical support of the President of Ukraine and the Presidential Office of Ukraine","Обслуговування та організаційне, інформаційно-аналітичне, матеріально-технічне забезпечення діяльності Президента України та Офісу Президента України",81340300,58872420.77,22467879.23,62810400,57373209.88,27905069.35,68733200,58369671.57,38268597.78,70739500,52471037.01,56537060.77,77719400,56556272.83,77700187.94,59416700,57560042.71,79556845.23,71039500,64802471.61,85793873.62,85848600,75233814.65,96408658.97,78489000,90799956.97,84097702,87330500,63637590.26,107790611.7,82932900,49324287.35,141399224.4,47318700,165583080.9,23134843.53,873718700
15,301010,2021,"Service and organizational, information-analytical, logistical support of the President of Ukraine and the Presidential Office of Ukraine","Обслуговування та організаційне, інформаційно-аналітичне, матеріально-технічне забезпечення діяльності Президента України та Офісу Президента України",89170800,38861770.01,50309029.99,70475300,81754089.84,39030240.15,88095000,72779471,54345769.15,128401700,73054194.88,109693274.3,92255900,72001919.99,129947254.3,179067800,80050153.02,228964901.3,106533800,92238848.49,243259852.8,106609100,94063772.96,255805179.8,98860500,99788466.55,254877213.3,93569500,84850219.69,263596493.6,94086700,104776345.5,252906848.1,89996300,305761024.1,37142123.96,1237122400
16,301050,2018,Production of state awards and memorial signs,Виготовлення державних нагород та пам'ятних знаків,1000000,0,1000000,1000000,102460,1897540,2506000,29500,4374040,4785000,0,9159040,4785000,906966,13037074,4785000,6017562,11804512,4785000,12112062.6,4477449.4,4785000,5368339.8,3894109.6,4785000,56432.16,8622677.44,4785000,11231616,2176061.44,4785000,5646642,1314419.44,4774900,6088118,1201.44,47560900
17,301050,2019,Production of state awards and memorial signs,Виготовлення державних нагород та пам'ятних знаків,1000000,0,1000000,3932400,80500,4851900,3972400,7599060,1225240,3932400,4149600,1008040,1200000,2208040,0,1200000,1093640,106360,1200000,9600,1296760,1100000,0,2396760,1100000,2819665.14,677094.86,1100000,1339009.44,438085.42,500000,475261.5,462823.92,335600,701216.1,97207.82,20572800
18,301050,2020,Production of state awards and memorial signs,Виготовлення державних нагород та пам'ятних знаків,103800,0,103800,207600,4000,307400,519100,826500,0,1519100,1519100,0,1726700,1726700,0,830500,830500,0,830500,830500,0,1142000,1142000,0,2245800,2188469.4,57330.6,1245800,1303130.6,0,1103400,453400,650000,1278800,1927504.8,1295.2,12753100
19,301050,2021,Production of state awards and monuments,Виготовлення державних нагород та пам`ятних знаків,1499800,0,1499800,1429700,74900,2854600,3008400,46500,5816500,3960000,2162344.2,7614155.8,3979900,3644728.2,7949327.6,2054500,1577405.6,8426422,1989600,2417598.9,7998423.1,1519400,5300062.2,4217760.9,1029800,1859448,3388112.9,1029100,779715,3637497.9,1048900,2696684.82,1989713.08,1064600,3034698.48,19614.6,23613700
20,301060,2018,Financial support for sanatoriums and health care facilities,Фінансова підтримка санаторно-курортних закладів та закладів оздоровлення,410300,122026.63,288273.37,548000,420457.09,415816.28,518000,316252.59,617563.69,518000,703834.64,431729.05,600000,600856.31,430872.74,583100,918462.65,95510.09,617500,478918.23,234091.86,686300,579185.65,341206.21,787000,471678.45,656527.76,803800,877140.14,583187.62,9060800,497567.2,9146420.42,2841800,11984208.51,4011.91,17974600
21,301060,2019,Financial support for sanatoriums and health care facilities,Фінансова підтримка санаторно-курортних закладів та закладів оздоровлення,418500,172387.73,246112.27,556200,475325.13,326987.14,538400,718337.46,147049.68,525200,317510.45,354739.23,594000,537844.39,410894.84,576300,787321.45,199873.39,610700,342813.03,467760.36,679500,539758.71,607501.65,794700,407203.75,994997.9,825600,922340.4,898257.5,825600,854371.73,869485.77,963600,1797837.23,35248.54,7908300
22,301060,2020,Financial support for sanatoriums and health care facilities,Фінансова підтримка санаторно-курортних закладів та закладів оздоровлення,424900,244399.79,180500.21,562600,437679.5,305420.71,531600,247361.93,589658.78,1021600,399064.14,1212194.64,1104400,1314785.22,1001809.42,1118300,294416.16,1825693.26,1558800,2245534.15,1138959.11,1460600,1255640.18,1343918.93,4195500,4868834.21,670584.72,1712900,132973.68,2250511.04,1423800,518432.92,3155878.12,2645700,5778148,23430.12,17760700
23,301060,2021,Financial support for sanatoriums and health care facilities,Фінансова підтримка санаторно-курортних закладів та закладів оздоровлення,658200,121372.84,536827.16,933100,139012.96,1330914.2,1730700,2990460.82,71153.38,1743800,1595590.69,219362.69,2293700,2444394.08,68668.61,2578400,2207091.37,439977.24,2551100,2624226.24,366851,3376000,3194806.45,548044.55,3641200,629827.01,3559417.54,3682200,6722279.46,519338.08,7937200,5416451.69,3040086.39,5333300,8368901.65,4484.74,36458900
24,301080,2018,"Fundamental and applied research in public administration, strategic problems of domestic and foreign policy and on the issues of mediation and reconciliation in resolving collective labor disputes (conflicts)","Фундаментальні та прикладні наукові дослідження у сфері державного управління, стратегічних проблем внутрішньої та зовнішньої політики і з питань посередництва та примирення при вирішенні колективних трудових спорів (конфліктів)",4842000,3831785.91,1010214.09,4992800,4260174.22,1742839.87,4967900,5365444.97,1345294.9,5148800,5053225.37,1440869.53,5224200,4880095.36,1784974.17,6534600,4929769.14,3389805.03,5529600,5688705.86,3230699.17,5604300,4860740.7,3974258.47,4519700,4436508.96,4057449.51,4730300,4871109.97,3916639.54,4916200,7599985.42,1232854.12,5697600,6871019.85,59434.27,62708000
25,301080,2019,"Fundamental and applied research in public administration, strategic problems of domestic and foreign policy and on the issues of mediation and reconciliation in resolving collective labor disputes (conflicts)","Фундаментальні та прикладні наукові дослідження у сфері державного управління, стратегічних проблем внутрішньої та зовнішньої політики і з питань посередництва та примирення при вирішенні колективних трудових спорів (конфліктів)",7531300,5155919.86,2375380.14,7763700,5750398.22,4388681.92,7731300,6614830.26,5505151.66,7803300,7903125.02,5405326.64,7926200,7777711.43,5553815.21,10233100,8710831.67,7076083.54,10290500,11491193.45,5875390.09,10412200,6678132.09,9609458,8319800,8285493.72,9643764.28,8433700,8520614.03,9556850.25,8513500,9169672.69,8900677.56,9040300,15755538.82,2185438.74,103998900
26,301080,2020,"Scientific and scientific and technical activity in the field of public administration, strategic problems of domestic and foreign policy and on the issues of mediation and reconciliation in resolving collective labor disputes (conflicts)","Наукова і науково-технічна діяльність у сфері державного управління, стратегічних проблем внутрішньої та зовнішньої політики і з питань посередництва та примирення при вирішенні колективних трудових спорів (конфліктів)",7248200,4915060.22,2333139.78,7247800,6678077.9,2902861.88,7219500,7033366.47,3088995.41,7334900,6397338.99,4026556.42,7386900,6391838.87,5021617.55,7367800,8228675.48,4160742.07,7365800,7516404.22,4010137.85,7372800,7574576.39,3808361.46,8071100,6628552.81,5250908.65,8284400,8917554.96,4617753.69,8444900,9624878.45,3437775.24,8652700,10734758.72,1355716.52,91996800
27,301080,2021,"Scientific and scientific and technical activity in the field of public administration, strategic problems of domestic and foreign policy and on the issues of mediation and reconciliation in resolving collective labor disputes (conflicts)","Наукова і науково-технічна діяльність у сфері державного управління, стратегічних проблем внутрішньої та зовнішньої політики і з питань посередництва та примирення при вирішенні колективних трудових спорів (конфліктів)",6533900,5509729.6,1024170.4,6536500,5842827.33,1717843.07,6434200,6277629.45,1874413.62,6549300,6895407.11,1528306.51,6554500,6507334.78,1575471.73,8371900,8070989.91,1876381.82,8371900,8435882.73,1812399.09,8497500,7874447.73,2435451.36,6682500,7392784.77,1725166.59,6852500,6706371.98,1871294.61,7192700,6821556.52,2242438.09,7271500,8512029.69,1001908.4,85848900
28,301130,2018,"Training of personnel, advanced training of executives, specialists of public administration, training of scientific-pedagogical and scientific personnel on the issues of strategic problems of domestic and foreign policy","Підготовка кадрів, підвищення кваліфікації керівних працівників, спеціалістів державного управління, підготовка науково-педагогічних і наукових кадрів з питань стратегічних проблем внутрішньої і зовнішньої політики",13393800,10684872.46,2708927.54,14391700,12907608.46,4193019.08,13742700,13362141.07,4573578.01,13893900,12352811.45,6114666.56,11806300,11489394.86,6431571.7,15559600,14819662.07,7171509.63,13908900,14027588.33,7052821.3,9676300,7611190.2,9117931.1,12828600,12350109.64,9596421.46,13319000,12167780.44,10747641.02,13297600,18342724.88,5702516.14,12572400,18228148.04,46768.1,158390800
29,301130,2019,"Training of personnel, advanced training of executives, specialists of public administration, training of scientific-pedagogical and scientific personnel on the issues of strategic problems of domestic and foreign policy","Підготовка кадрів, підвищення кваліфікації керівних працівників, спеціалістів державного управління, підготовка науково-педагогічних і наукових кадрів з питань стратегічних проблем внутрішньої і зовнішньої політики",14162500,11246602.44,2915897.56,14752400,13961455.49,3706842.07,13456300,12520618.26,4642523.81,13087600,12604020.06,5126103.75,13858800,12203882.47,6781021.28,18595500,17045154.95,8331366.33,13891200,14632568.29,7589998.04,11999400,9475614.6,10113783.44,14392300,11803100.47,12702982.97,14748500,15508284.97,11943198,14746700,14890649.33,11799248.67,15565900,24899003.98,2466144.69,173257100
30,301130,2020,"Training of personnel, advanced training of executives, specialists of public administration, training of scientific-pedagogical and scientific personnel on the issues of strategic problems of domestic and foreign policy","Підготовка кадрів, підвищення кваліфікації керівних працівників, спеціалістів державного управління, підготовка науково-педагогічних і наукових кадрів з питань стратегічних проблем внутрішньої і зовнішньої політики",14980900,12649843.45,2331056.55,14683700,13562961.59,3451794.96,14511800,13878677.54,4084917.42,14343200,14480576.62,3947540.8,14376700,13094639.56,5229601.24,17744200,17307639.35,5666161.89,14999200,14184430.8,6480931.09,14365900,12702372.62,8144458.47,16367200,13729092.99,10782565.48,16642200,15282174.37,12142591.11,17125100,15498244.9,13769446.21,10921100,23094350.34,1596195.87,181061200
31,301130,2021,Preparation of scientific-pedagogical and scientific personnel on strategic problems of domestic and foreign policy,Підготовка науково-педагогічних і наукових кадрів з питань стратегічних проблем внутрішньої і зовнішньої політики,177300,138969.77,38330.23,179700,141109.41,76920.82,187100,143646.4,120374.42,187100,140501.36,166973.06,195200,213673.85,148499.21,223100,129738.53,241860.68,200400,97275.47,344985.21,195500,98609.09,441876.12,204300,103179.13,542996.99,0,62153.9,375843.09,22100,62153.9,335789.19,0,86742.14,3047.05,1771800
32,301140,2018,Save Nature Reserve Fund in National Nature Parks and Reserves,Збереження природно-заповідного фонду в національних природних парках та заповідниках,3271300,2598183.08,673116.92,3316000,3390454.25,598662.67,3256500,3397331.03,457831.64,3290300,3444294.13,303837.51,3312700,2676170.1,940367.41,3253200,2795283.32,1398284.09,3264400,2822977.8,1839706.29,3286800,3204007.64,1922498.65,3432000,2896385.52,2458113.13,3525400,2980323.28,3003189.85,3559100,4364997.11,2197292.74,3671500,5867435.47,1357.27,40439200
33,301140,2019,Save Nature Reserve Fund in National Nature Parks and Reserves,Збереження природно-заповідного фонду в національних природних парках та заповідниках,3351100,2630134.85,720965.15,3364600,2980351.8,1105213.35,3684000,3635376.59,1153836.76,3402300,3825783.09,730353.67,3429300,2988891.34,1170762.33,3721800,3548068.9,1344493.43,3721800,3175555.89,1890737.54,3762200,3237260.05,2415677.49,3936000,3783389.67,2568287.82,4063600,3309432.09,3322455.73,6153100,3752929.74,5722625.99,4291400,9871900.8,142125.19,46881200
34,301140,2020,Save Nature Reserve Fund in National Nature Parks and Reserves,Збереження природно-заповідного фонду в національних природних парках та заповідниках,4152100,3307054.62,845045.38,4262400,3476490.53,1630954.85,4355300,3854710.99,2131543.86,4355300,3694762.31,2792081.55,4925000,4162358.29,3554723.26,4747300,4888583.84,3413439.42,4125300,4155951.54,3382787.88,4868100,4255193.92,3995693.96,5309200,5322180.88,3982713.08,6087700,4893592.21,5176820.87,5485300,4252179.87,6409941,4242100,9598239.75,1053801.25,56915100
35,301140,2021,Save Nature Reserve Fund in National Nature Parks and Reserves,Збереження природно-заповідного фонду в національних природних парках та заповідниках,5696000,4379540.12,1316459.88,5919000,5098392.85,2137067.03,6525100,5744095.7,2918071.33,6988400,5787109.58,4119361.75,7434400,5904902.87,5648858.88,8004300,5873585.96,7779572.92,7941300,4944406.5,10776466.42,8610300,6142778.92,13243987.5,8486400,5908124.35,15822263.15,8580900,7036612.59,17366550.56,5636700,6410868.36,16592382.2,1910500,17530386.08,972496.12,81733300
36,301170,2018,Providing medical services to medical facilities,Надання  медичних  послуг  медичними  закладами,44065500,26660455.78,17405044.22,45924800,48398879.09,14930965.13,45514500,56551087.74,3894377.39,113314500,99446255.86,17762621.53,111444100,57947066.58,71259654.95,64432000,56360681.32,79330973.63,55079500,74279086.28,60131387.35,47428100,48522956.81,59036530.54,48973400,59302677.44,48707253.1,50008400,50126586.98,48589066.12,60355000,95675832.28,13268233.84,64899000,77943909.98,223323.86,751438800
37,301170,2019,Providing medical services to medical facilities,Надання  медичних  послуг  медичними  закладами,46767500,31958973.43,14808526.57,47356800,48404214.11,13761112.46,53826800,53874061.43,13713851.03,51456700,53884503.27,11286047.76,52632500,58141035.92,5777511.84,119337600,57742772.44,67372339.4,67518000,92523460.31,42366879.09,57561200,69870131.13,30057947.96,58462200,65596740.9,22923407.06,57835700,52141736.83,28617370.23,59010600,61877619.07,25750351.16,59613200,85046727.59,316823.57,731378800
38,301170,2020,Providing medical services to medical facilities,Надання  медичних  послуг  медичними  закладами,52577000,47208045.07,5368954.93,52659200,42275763.16,15752391.77,52458300,54841984.56,13368707.21,52458300,52309786.88,13517220.33,58197900,52901335.44,18813784.89,63856300,62294394.17,20375690.72,63414200,67873791.91,15916098.81,63656500,46078762.55,33493836.26,61256100,58085892.12,36664044.14,56342000,55696988.32,37309055.82,56945600,56717327.14,37537328.68,85107700,122207422.7,437605.94,718929100
39,301170,2021,Providing medical services to medical facilities,Надання  медичних  послуг  медичними  закладами,64215900,38686875.08,25529024.92,64301200,68957529.5,20872695.42,64112600,70019525.18,14965770.24,69808000,76591020.63,8182749.61,69978800,57194047.8,20967501.81,74040100,76539083.61,18468518.2,73595100,67744933.24,24318684.96,73851400,75832312.58,22337772.38,70350400,63418526.11,29269646.27,71377400,66576138.07,34070908.2,74714400,73662775.66,35122532.54,128562000,163242718.4,441814.17,898907300
40,301360,2018,"Financial support of the National Chamber Ensemble ""Kyiv Soloists"", National Cultural and Art and Museum Complex ""Art Arsenal"", National Complex ""Expocenter of Ukraine"", information newsletter ""Official Bulletin of the President of Ukraine""","Фінансова підтримка Національного камерного ансамблю ""Київські солісти"", Національного культурно-мистецького та музейного комплексу ""Мистецький арсенал"", Національного комплексу ""Експоцентр України"", інформаційного бюлетеня ""Офіційний вісник Президента України""",4689500,3372773.7,1316726.3,4617500,4590499.79,1343726.51,4656100,0,5999826.51,4241700,8239015.87,2002510.64,27243700,25293526.88,3952683.76,4493800,6150829.56,2295654.2,5198100,5423346.32,2070407.88,4463300,4118622.81,2415085.07,4377800,5642213.71,1150671.36,4574400,4646059,1079012.36,4580300,3759984.89,1899327.47,4988100,6887318.08,109.39,78124300
41,301360,2019,"Financial support of the National Chamber Ensemble ""Kyiv Soloists"", National Cultural and Art and Museum Complex ""Art Arsenal""","Фінансова підтримка Національного камерного ансамблю ""Київські солісти"", Національного культурно-мистецького та музейного комплексу ""Мистецький арсенал""",5062900,4037122.12,1025777.88,5062900,4807777.93,1280899.95,5166600,5414294.55,1033205.4,4764900,4572080.31,1226025.09,4702900,4545325.22,1383599.87,4964100,5070573.36,1277126.51,5677600,4723360.32,2231366.19,5018900,3891592.27,3358673.92,5085000,4527908.54,3915765.38,5057200,4670465.8,4302499.58,5129700,4521532.56,4910667.02,5508800,9675529.22,743937.8,61201500
42,301360,2020,"Financial support of the National Chamber Ensemble ""Kyiv Soloists"", National Cultural and Art and Museum Complex ""Art Arsenal""","Фінансова підтримка Національного камерного ансамблю ""Київські солісти"", Національного культурно-мистецького та музейного комплексу ""Мистецький арсенал""",4156200,3405872.12,750327.88,4156200,3545697.49,1360830.39,4130900,3875975.06,1615755.33,3761000,3661340.64,1715414.69,3763900,3314995.65,2164319.04,4113400,3813137.97,2464581.07,4777300,4990692.96,2251188.11,4122900,4086249.8,2287838.31,4402600,4820739.92,1869698.39,4328200,4007446.71,2190451.68,4434600,4136677.98,2488373.7,3985100,6372506.01,100967.69,50132300
43,301360,2021,Financial support for cultural and art institutions,Фінансова підтримка закладів культури і мистецтва,5213800,3815008.51,1398791.49,5213800,5233453.8,1379137.69,5213800,5222086.1,1370851.59,5213800,5219621.96,1365029.63,5213800,4886236.79,1692592.84,5213800,5840650,1065742.84,80213800,5855306.84,75424236,60213800,65459468.94,70178567.06,25213800,57305514.28,38086852.78,5213800,0,46651645.01,5213800,10804472.91,41060972.1,5213900,34524155.47,11750716.63,212565700
44,301460,2018,Payment of State Prizes of Ukraine,Виплата Державних премій України,0,0,0,1200000,0,1200000,0,960000,240000,0,0,240000,0,0,240000,0,240000,0,0,0,0,0,0,0,500000,0,500000,0,0,500000,0,499999.9,0.1000000001,0,0,0.1000000001,1700000
45,301460,2019,Payment of State Prizes of Ukraine,Виплата Державних премій України,0,0,0,1200000,0,1200000,0,1200000,0,0,0,0,0,0,0,500000,0,500000,0,0,500000,0,0,500000,500000,0,1000000,0,0,1000000,0,0,1000000,0,0,1000000,2200000
46,301460,2020,Payment of State Prizes of Ukraine,Виплата Державних премій України,0,0,0,1200000,0,1200000,0,1200000,0,0,0,0,0,0,0,500000,0,500000,0,0,500000,0,0,500000,500000,0,1000000,0,479555.48,520444.52,0,18444.4,502000.12,0,0,2000.12,2200000
47,301460,2021,Payment of State Prizes of Ukraine,Виплата Державних премій України,0,0,0,1440000,0,1440000,0,0,1440000,0,0,1440000,0,0,1440000,500000,960000,980000,0,240000,740000,0,0,740000,500000,240000,1000000,0,0,1000000,0,0,1000000,0,0,500000,2440000
