,kpkv,year,name_eng,name_ukr,m_1_plan,m_1_fact,m_1_nspend,m_2_plan,m_2_fact,m_2_nspend,m_3_plan,m_3_fact,m_3_nspend,m_4_plan,m_4_fact,m_4_nspend,m_5_plan,m_5_fact,m_5_nspend,m_6_plan,m_6_fact,m_6_nspend,m_7_plan,m_7_fact,m_7_nspend,m_8_plan,m_8_fact,m_8_nspend,m_9_plan,m_9_fact,m_9_nspend,m_10_plan,m_10_fact,m_10_nspend,m_11_plan,m_11_fact,m_11_nspend,m_12_plan,m_12_fact,m_12_nspend,Annual Plan
320,1809020,2019,"Measures for the implementation of state policy in the field of restoration and preservation of national memory, ensuring the activities of the National Memorial Complex of Heavenly Hundred Heroes - the Museum of Dignity Revolution and Sectoral State Archives of the Ukrainian Institute of National Memory","Заходи з реалізації державної політики у сфері відновлення та збереження національної пам’яті, забезпечення діяльності Національного меморіального комплексу Героїв Небесної Сотні - Музею Революції гідності та Галузевого державного архіву Українського інституту національної пам’яті",3702700,840622.63,2862077.37,2628300,1170294.81,4320082.56,10786300,1962842.84,13143539.72,2640200,1654853.12,14128886.6,15056600,1989988.51,27195498.09,33812500,1772969.25,59235028.84,4381600,3018569.69,60598059.15,5655900,3456654.22,62797304.93,4718500,2945384.45,64570420.48,3594100,4102396.96,64062123.52,3744100,4903422.03,62902801.49,4704200,15535907.55,52071093.94,95425000
321,2201010,2018,General management and management in the field of education and science,Загальне керівництво та управління у сфері освіти і науки,8475600,5257967.53,3217632.47,8742700,9275814.13,2684518.34,8703200,8595560.44,2792157.9,25462700,9970661.02,18284196.88,14750000,11248112.69,21786084.19,16233100,14047703.18,23971481.01,16299900,12830754.26,27440626.75,16433500,10889329.66,32984797.09,15370700,13880723.81,34474773.28,14155400,15297074.88,33333098.4,14422900,16138985.48,31617012.92,15225000,21965469.42,24876543.5,174274700
322,2201010,2019,General management and management in the field of education and science,Загальне керівництво та управління у сфері освіти і науки,13779500,10238412.36,3541087.64,13854700,12765559.46,4630228.18,14637600,13212209.52,6055618.66,14331300,13009085.75,7377832.91,14478500,13418821.93,8437510.98,17054300,15241736.88,10250074.1,15122000,15778704.42,9593369.68,15341500,15138803.47,9796066.21,14810800,14993399.12,9613467.09,14185000,14279755.71,9518711.38,14631900,15867837.3,8282774.08,15305500,21926915.7,1661358.38,177532600
323,2201010,2020,General management and management in the field of education and science,Загальне керівництво та управління у сфері освіти і науки,9113500,8109016.99,1004483.01,9265900,9033388.99,1236994.02,18314900,16284782.03,3267111.99,16446900,12275002.95,7439009.04,14579700,11865442.47,10153266.57,15773700,14763340.46,11163626.11,15726900,15768285.78,11122240.33,16167800,13688136.54,13601903.79,15369100,13030839.3,15940164.49,14502200,11820772.23,18621592.26,19226200,16376593.93,21471198.33,17898700,28906450.96,10463447.37,182385500
324,2201010,2021,General management and management in the field of education and science,Загальне керівництво та управління у сфері освіти і науки,9519200,8658705.64,860494.36,15236200,13892889.95,2203804.41,13261100,13180825.21,2284079.2,14368800,12926248.76,3726630.44,15940300,11838697.96,7828232.48,18641100,14294426.27,12174906.21,18593900,16405009.99,14363796.22,19289300,12470254.05,21182842.17,17052100,17687554.19,20547387.98,16015000,14752191.89,21810196.09,16525900,17295899.7,21040196.39,16829000,32867087.49,5002108.9,191271900
325,2201020,2018,Ensuring the organization of the National Agency for Higher Education Quality Agency,Забезпечення організації роботи Національного агентства із забезпечення якості вищої освіти,841700,104068.69,737631.31,843500,89342.5,1491788.81,841900,141612.4,2192076.41,823900,128495.26,2887481.15,819400,46952.81,3659928.34,0,67216.09,3411612.25,0,195647.35,862864.9,818900,93281.24,1588483.66,3318900,218150.74,4689232.92,3341900,103638.05,7927494.87,92400,142046.23,7877848.64,0,481096.75,310051.89,11742500
326,2201020,2019,Ensuring the organization of the National Agency for Quality Higher Education and Educational Ombudsman,Забезпечення організації роботи Національного агентства із забезпечення якості вищої освіти та освітнього омбудсмена,1106100,101803.5,1004296.5,1104100,26386.19,2082010.31,1099100,535776.65,2645333.66,1079000,460081.54,3264252.12,1072500,1113696.97,3223055.15,1072000,1262081.2,3032973.95,4222000,1667834.59,5587139.36,6419800,1605119.01,10401820.35,4420600,2297297.1,12525123.25,2444100,3571358.26,11397864.99,7558800,3155363.56,15801301.43,5470300,10652607.34,10618994.09,37068400
327,2201020,2020,"Ensuring the organization of the National Agency for Quality Assurance of Higher Education, the National Qualifications Agency, Educational Ombudsman, State Attestation and Accreditation of Education Institutions","Забезпечення організації роботи Національного агентства із забезпечення якості вищої освіти, Національного агентства кваліфікацій, освітнього омбудсмена, державна атестація та акредитація закладів освіти",6955500,3993901.15,2961598.85,7134200,5448955.89,4646842.96,7236100,6405433.86,5477509.1,5508900,3965692.57,7020716.53,6282100,4461864.3,8840952.23,6314500,5008842.3,10146609.93,3890400,5657401.06,8379608.87,3846400,4850686.75,7375322.12,11517200,9204479.96,9688042.16,6582700,6994468.42,9276273.74,6652800,6785692.67,9143381.07,2312600,9532364.47,1923616.6,74233400
328,2201020,2021,"Ensuring the organization of the National Agency for Quality Assurance of Higher Education, National Qualifications Agency, Educational Ombudsman","Забезпечення організації роботи Національного агентства із забезпечення якості вищої освіти, Національного агентства кваліфікацій, освітнього омбудсмена",8020900,6231774.07,1789125.93,9518800,7032480.72,4275445.21,7571200,7888166.03,3958479.18,7575000,7726278.25,3807200.93,8054100,7765560.76,4095740.17,8175100,7850631.62,4420208.55,8371500,8372442.79,4419265.76,7959600,7233795.2,5145070.56,7725700,6960769.86,5910000.7,7875900,7510538.65,6275362.05,7686100,8318809.92,5642652.13,6802200,10474877.19,1969974.94,95336100
329,2201030,2018,Training of personnel in vocational schools by professions of national importance,Підготовка кадрів у професійно-технічних навчальних закладах за професіями загальнодержавного значення,6400000,1999228,4400772,7000000,7938821,3461951,7000000,5804165,4657786,8720000,4119384,9258402,8720000,4715762,13262640,8720000,6828861,15153779,8720000,2192884,21680895,8720000,2408963,27991932,13900200,6365615.78,35526516.22,13900200,11081738,38344978.22,13900200,15160665.92,37084512.3,0,15230258,3554454.3,105700600
330,2201030,2019,Training of personnel in vocational schools by professions of national importance,Підготовка кадрів у професійно-технічних навчальних закладах за професіями загальнодержавного значення,13000000,3406715,9593285,13000000,16918068,5675217,13000000,15255080,3420137,13000000,9461575,6958562,13000000,10164667,9793895,13000000,14300796,8493099,10530000,4752199,14270900,10530100,3350782,21450218,16000000,7721114,29729104,16000000,13929970,31799134,16000000,21194424,26604710,3000000,25641665,3963045,150060100
331,2201030,2020,Ensuring the acquisition of vocational (vocational-technical) education by professions of national importance,Забезпечення здобуття професійної (професійно-технічної) освіти за професіями загальнодержавного значення,16000000,3578075,12421925,17000000,22251608,7170317,18000000,17864658,7305659,18000000,11905828,13399831,19000000,11639522,20760309,22000000,21516809,21243500,0,6642149,14601351,9000000,4451129,19150222,20250000,7850621,31549601,20250000,13699820,38099781,15250000,20045470,33304311,250000,22546115,11008196,175000000
332,2201030,2021,Ensuring the acquisition of vocational (vocational-technical) education by professions of national importance,Забезпечення здобуття професійної (професійно-технічної) освіти за професіями загальнодержавного значення,17000000,1486630,15513370,17000000,18162927,14350443,17000000,24208667,7141776,17000000,16104810,8036966,20000000,12010664,16026302,25000000,14518190,26508112,7000000,14141308,19366804,7000000,4857548,21509256,18000000,7797653,31711603,18000000,14524920,35186683,18000000,25617515,27569168,4000000,26211952,5357216,185000000
333,2201040,2018,"Research, scientific and technical development, performance of works on state targeted programs and state order, preparation of scientific personnel, financial support","Дослідження, наукові та науково-технічні розробки, виконання робіт за державними цільовими програмами та державним замовленням, підготовка наукових кадрів, фінансова підтримка преси, розвитку наукової інфраструктури, наукових об'єктів, що становлять національне надбання, забезпечення діяльності Державного фонду фундаментальних досліджень",48148700,24012133.28,24136566.72,51238300,13857630.49,61517236.23,45289200,73221865.67,33584570.56,43026200,45784470.48,30826300.08,50528900,47459109.67,33896090.41,74794400,58841077.6,49849412.81,61016700,53915440.02,56950672.79,51890600,37304882.02,71536390.77,47689200,49754118.61,69471472.16,51095800,70354639.58,50212632.58,56930800,62836831.33,44306601.25,116431100,160053540.2,684161.02,698079900
334,2201040,2019,"Research, scientific and scientific and technical developments, performance of works on state target programs and state order, preparation of scientific personnel, financial support for the development of scientific infrastructure, scientific objects that make up national heritage","Дослідження, наукові та науково-технічні розробки, виконання робіт за державними цільовими програмами та державним замовленням, підготовка наукових кадрів, фінансова підтримка розвитку наукової інфраструктури, наукових об'єктів, що становлять національне надбання",53166900,24870900.7,28295999.3,54780300,35767083.11,47309216.19,54640000,52900751.87,49048464.32,55049900,49297474.08,54800890.24,55904200,49773739.38,60931350.86,72003200,68478761.98,64455788.88,75401800,59138740.8,80718848.08,73247100,49738737.26,104227210.8,58727800,55282369.59,107672641.2,59523100,81914420.21,85281321.02,60077200,78935726.61,66422794.41,60733300,122713941.4,4442152.98,733254800
335,2201040,2020,Scientific and scientific and technical activity of higher education institutions and scientific institutions,Наукова і науково-технічна діяльність закладів вищої освіти та наукових установ,97191300,29055147.56,68136152.44,60345200,12989380.17,115491972.3,70420200,92945874.46,92966297.81,74877800,50524920.99,117319176.8,73650000,55146545.67,135822631.2,43699900,71418223.68,108104307.5,63029500,86068535.08,85065272.39,66439278,43496208.59,108008341.8,73137480,74498049.83,106647772,66623846,65087260.96,108184357,66618298,69421625.05,105381030,66625998,159073561.9,12933466.05,822658800
336,2201040,2021,Scientific and scientific and technical activity of higher education institutions and scientific institutions,Наукова і науково-технічна діяльність закладів вищої освіти та наукових установ,64382300,27890892.29,36491407.71,60225400,40998448.28,55718359.43,62462900,55192259.11,62989000.32,74456400,58721927.73,78723472.59,65700800,59938541.46,84485731.13,82918900,70969785.69,96434845.44,83403000,64664974.91,115172870.5,74757300,55482793.64,134447376.9,67457700,88459026.78,113446050.1,67628300,88934219.58,92140130.53,67907200,80014498.19,80032832.34,103371700,180197165.2,3207367.13,874671900
2024,2201050,2020,"Refunds paid for providing an external independent assessment test in 2020, at the expense of funds allocated from the COVID-19 acute respiratory disease caused","Повернення коштів, сплачених за надання послуги із проведення пробного зовнішнього незалежного оцінювання у 2020 році, за рахунок коштів, які виділені із фонду боротьби з гострою респіраторною хворобою COVID-19,спричиненою коронавірусом SARS-CoV-2, та її наслідками",,,,,,,,,,,,,,,,26225000,0,26225000,26225000,52450000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52450000
1609,2201070,2019,Presidential Fund for Supporting Educational and Scientific Programs for Youth,Фонд Президента України з підтримки освітніх та наукових програм для молоді,0,0,0,100000000,0,100000000,200000000,0,300000000,100000000,0,400000000,100000000,0,500000000,100000000,0,600000000,200000000,0,800000000,200000000,0,1000000000,0,0,1000000000,0,0,1000000000,0,0,0,,,,1000000000
1610,2201070,2020,"Presidential Fund for Education, Science and Sports Support","Фонд Президента України з підтримки освіти, науки та спорту",0,0,0,0,0,0,10000000,0,10000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,10000000
1611,2201070,2021,"Presidential Fund for Education, Science and Sports Support","Фонд Президента України з підтримки освіти, науки та спорту",0,0,0,0,0,0,0,0,0,30000000,0,30000000,30000000,0,60000000,30000000,0,90000000,0,0,20000000,60000000,0,80000000,0,0,60000000,28384000,0,88384000,12500000,1600000,99284000,28967000,10026200,118224800,219851000
337,2201080,2018,"State awards, scholarships and grants in the field of education, science and technology, scholarships to winners of international competitions","Державні премії, стипендії та гранти в галузі освіти, науки і техніки, стипендії переможцям міжнародних конкурсів",3878200,3316881.35,561318.65,2228200,1931399.69,858118.96,6033200,1934107.96,4957211,1609400,1733187.78,4833423.22,2000000,1805517.64,5027905.58,2150000,6408114.78,769790.8,2185300,1874918.13,1080172.67,2100000,1706488.93,1473683.74,2302200,1916105.77,1859777.97,2232700,1427286.11,2665191.86,2028600,2068740.18,2625051.68,2060000,3729469.36,955582.32,30807800
338,2201080,2019,"State awards, scholarships and grants in the field of education, science and technology, scholarships to winners of international competitions","Державні премії, стипендії та гранти в галузі освіти, науки і техніки, стипендії переможцям міжнародних конкурсів",4975100,1906101.62,3068998.38,3360000,2253379.8,4175618.58,3305000,1985426.7,5495191.88,4545100,1975014.84,8065277.04,5547900,7606487.93,6006689.11,3350000,2091338.88,7265350.23,3300000,3915926.88,6649423.35,3300000,3791612.56,6157810.79,3350000,3745975.31,5761835.48,3336600,3578853.42,5519582.06,3300000,3736388.57,5083193.49,3300000,5845745.65,2537447.84,44969700
339,2201080,2020,"State awards, scholarships and grants in the field of education, science and technology, scholarships to winners of international competitions","Державні премії, стипендії та гранти в галузі освіти, науки і техніки, стипендії переможцям міжнародних конкурсів",4528300,2733106.95,1795193.05,4712300,4246692.06,2260800.99,4478600,4696716.31,2042684.68,9386700,8398930.23,3030454.45,5479400,2773028.23,5736826.22,4478600,5321487.65,4893938.57,3654100,4064632.14,4483406.43,3624600,4025767.36,4082239.07,5769600,4069843.62,5781995.45,5880500,3951243.6,7711251.85,6224600,3970603.08,9965248.77,3459400,7203616.6,6221032.17,61676700
